,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
2268,older,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
3357,major,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
517,thrill,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2818,poor,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2927,rom,0.0008960000000000001,0.000496,1.806452,0.4639446113251061,ham
234,school,0.0008960000000000001,0.000496,1.806452,0.4639446113251061,ham
2410,onto,0.0008960000000000001,0.000496,1.806452,0.4639446113251061,ham
2797,company,0.000597,0.000331,1.803625,0.4619917737010046,ham
549,support,0.000597,0.000331,1.803625,0.4619917737010046,ham
2635,team,0.000597,0.000331,1.803625,0.4619917737010046,ham
126,site,0.000597,0.000331,1.803625,0.4619917737010046,ham
970,news,0.001593,0.000909,1.752475,0.426993742949044,ham
271,open,0.000995,0.000579,1.71848,0.4040910895994461,ham
650,bag,0.000995,0.000579,1.71848,0.4040910895994461,ham
79,check,0.000697,0.000413,1.6876509999999998,0.383573776498134,ham
2108,sun,0.000697,0.000413,1.6876509999999998,0.383573776498134,ham
2641,times,0.0017920000000000002,0.001074,1.6685290000000002,0.3709703251477144,ham
83,performing,0.000398,0.000248,1.604839,0.3296844345837072,ham
893,comics,0.000398,0.000248,1.604839,0.3296844345837072,ham
3069,basic,0.000398,0.000248,1.604839,0.3296844345837072,ham
2679,sunday,0.000398,0.000248,1.604839,0.3296844345837072,ham
2744,actual,0.000796,0.000496,1.604839,0.3296844345837072,ham
3164,funding,0.000398,0.000248,1.604839,0.3296844345837072,ham
2827,stage,0.000398,0.000248,1.604839,0.3296844345837072,ham
956,jane,0.000398,0.000248,1.604839,0.3296844345837072,ham
3047,abuse,0.000398,0.000248,1.604839,0.3296844345837072,ham
3091,award,0.000796,0.000496,1.604839,0.3296844345837072,ham
1856,looking,0.000796,0.000496,1.604839,0.3296844345837072,ham
3749,park,0.000398,0.000248,1.604839,0.3296844345837072,ham
821,semitism,0.000398,0.000248,1.604839,0.3296844345837072,ham
1104,ages,0.000796,0.000496,1.604839,0.3296844345837072,ham
3543,thx,0.000398,0.000248,1.604839,0.3296844345837072,ham
1116,kevinmarks,0.000398,0.000248,1.604839,0.3296844345837072,ham
1073,national,0.000398,0.000248,1.604839,0.3296844345837072,ham
793,free,0.0008960000000000001,0.000579,1.547496,0.2934509470802975,ham
2151,day,0.005872,0.0038020000000000003,1.54445,0.29155177730033305,ham
170,low,0.0022890000000000002,0.0014880000000000002,1.538306,0.2877289599153276,ham
3854,took,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1317,cut,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1934,young,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1615,congrats,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1628,wark,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
2802,mike,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
202,prof,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1005,trial,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
3830,mother,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
1160,boy,0.0004980000000000001,0.000331,1.504532,0.2669061270998536,ham
843,hall,0.0010949999999999998,0.0007440000000000001,1.471774,0.24702420613924894,ham
1664,wadhwa,0.000597,0.000413,1.4455209999999998,0.2313186384080353,ham
675,second,0.000597,0.000413,1.4455209999999998,0.2313186384080353,ham
398,matter,0.000597,0.000413,1.4455209999999998,0.2313186384080353,ham
3541,needs,0.000597,0.000413,1.4455209999999998,0.2313186384080353,ham
3748,post,0.001194,0.0008269999999999999,1.443773,0.230280228178376,ham
3511,interview,0.001194,0.0008269999999999999,1.443773,0.230280228178376,ham
3485,lgbt,0.001194,0.0008269999999999999,1.443773,0.230280228178376,ham
2583,jon,0.001194,0.0008269999999999999,1.443773,0.230280228178376,ham
